bat,actual airtime
1.808383999999999,16.0
1.4666239999999997,15.0
1.4666239999999997,16.0
1.4666239999999997,16.0
0.7764479999999997,16.0
0.7333119999999997,15.0
0.7333119999999997,15.0
0.7333119999999997,15.0
0.3882239999999998,15.0
0.3666559999999998,15.0
0.3666559999999998,15.0
0.3666559999999998,15.0
2.520128,17.0
2.65472,16.0
2.65472,16.0
2.65472,17.0
1.4054399999999998,16.0
1.32736,15.0
1.32736,16.0
1.32736,16.0
0.7027199999999999,16.0
0.6636799999999999,15.0
0.6636799999999999,15.0
0.6636799999999999,15.0
4.511871999999999,20.0
4.752383999999998,20.0
4.752383999999998,21.0
4.752383999999998,21.0
2.515967999999999,16.0
2.376191999999999,16.0
2.376191999999999,16.0
2.376191999999999,16.0
1.2579839999999995,16.0
1.1880959999999996,16.0
1.1880959999999996,16.0
1.1880959999999996,16.0
7.966975999999997,25.0
8.390655999999998,23.0
8.390655999999998,26.0
8.390655999999998,28.0
4.442111999999999,20.0
4.195327999999999,20.0
4.195327999999999,21.0
4.195327999999999,21.0
2.2210559999999995,15.0
2.0976639999999995,16.0
2.0976639999999995,16.0
2.0976639999999995,16.0
15.917567999999996,32.0
16.781311999999996,30.0
16.781311999999996,36.0
16.781311999999996,45.0
8.884223999999998,25.0
8.390655999999998,25.0
8.390655999999998,28.0
8.390655999999998,25.0
4.442111999999999,21.0
4.195327999999999,20.0
4.195327999999999,21.0
4.195327999999999,21.0
27.640832,43.0
29.106176,67.0
29.106176,63.0
29.106176,63.0
15.409152,28.0
14.553088,29.0
14.553088,32.0
14.553088,32.0
7.704575999999999,23.0
7.276543999999999,21.0
7.276543999999999,25.0
7.276543999999999,25.0
